"IndicatorCode","Indicator","ValueType","ParentLocationCode","ParentLocation","Location type","SpatialDimValueCode","Location","Period type","Period","Value"
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NAM","Namibia","Year",2000,170000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NER","Niger","Year",2023,31000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NER","Niger","Year",2022,31000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NER","Niger","Year",2021,31000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NER","Niger","Year",2020,31000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NER","Niger","Year",2015,32000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NER","Niger","Year",2010,38000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NER","Niger","Year",2005,49000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NER","Niger","Year",2000,53000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NGA","Nigeria","Year",2023,2000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NGA","Nigeria","Year",2022,2000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NGA","Nigeria","Year",2021,2000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NGA","Nigeria","Year",2020,2000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NGA","Nigeria","Year",2015,1900
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NGA","Nigeria","Year",2010,1800
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NGA","Nigeria","Year",2005,1700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","NGA","Nigeria","Year",2000,1600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","RWA","Rwanda","Year",2023,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","RWA","Rwanda","Year",2022,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","RWA","Rwanda","Year",2021,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","RWA","Rwanda","Year",2020,240000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","RWA","Rwanda","Year",2015,240000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","RWA","Rwanda","Year",2010,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","RWA","Rwanda","Year",2005,220000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","RWA","Rwanda","Year",2000,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SEN","Senegal","Year",2023,44000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SEN","Senegal","Year",2022,42000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SEN","Senegal","Year",2021,41000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SEN","Senegal","Year",2020,40000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SEN","Senegal","Year",2015,40000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SEN","Senegal","Year",2010,43000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SEN","Senegal","Year",2005,43000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SEN","Senegal","Year",2000,37000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SLE","Sierra Leone","Year",2023,77000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SLE","Sierra Leone","Year",2022,76000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SLE","Sierra Leone","Year",2021,75000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SLE","Sierra Leone","Year",2020,73000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SLE","Sierra Leone","Year",2015,66000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SLE","Sierra Leone","Year",2010,59000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SLE","Sierra Leone","Year",2005,53000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SLE","Sierra Leone","Year",2000,41000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SSD","South Sudan","Year",2023,140000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SSD","South Sudan","Year",2022,140000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SSD","South Sudan","Year",2021,140000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SSD","South Sudan","Year",2020,140000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SSD","South Sudan","Year",2015,170000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SSD","South Sudan","Year",2010,160000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SSD","South Sudan","Year",2005,140000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SSD","South Sudan","Year",2000,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SWZ","Eswatini","Year",2023,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SWZ","Eswatini","Year",2022,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SWZ","Eswatini","Year",2021,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SWZ","Eswatini","Year",2020,240000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SWZ","Eswatini","Year",2015,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SWZ","Eswatini","Year",2010,2e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SWZ","Eswatini","Year",2005,170000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","SWZ","Eswatini","Year",2000,130000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TCD","Chad","Year",2023,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TCD","Chad","Year",2022,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TCD","Chad","Year",2021,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TCD","Chad","Year",2020,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TCD","Chad","Year",2015,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TCD","Chad","Year",2010,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TCD","Chad","Year",2005,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TCD","Chad","Year",2000,1e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TGO","Togo","Year",2023,1e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TGO","Togo","Year",2022,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TGO","Togo","Year",2021,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TGO","Togo","Year",2020,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TGO","Togo","Year",2015,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TGO","Togo","Year",2010,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TGO","Togo","Year",2005,120000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TGO","Togo","Year",2000,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TZA","United Republic of Tanzania","Year",2023,1700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TZA","United Republic of Tanzania","Year",2022,1700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TZA","United Republic of Tanzania","Year",2021,1700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TZA","United Republic of Tanzania","Year",2020,1600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TZA","United Republic of Tanzania","Year",2015,1400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TZA","United Republic of Tanzania","Year",2010,1200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TZA","United Republic of Tanzania","Year",2005,1100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","TZA","United Republic of Tanzania","Year",2000,1200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","UGA","Uganda","Year",2023,1500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","UGA","Uganda","Year",2022,1500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","UGA","Uganda","Year",2021,1500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","UGA","Uganda","Year",2020,1500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","UGA","Uganda","Year",2015,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","UGA","Uganda","Year",2010,1200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","UGA","Uganda","Year",2005,1000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","UGA","Uganda","Year",2000,1000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZAF","South Africa","Year",2023,7700
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZAF","South Africa","Year",2022,7600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZAF","South Africa","Year",2021,7500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZAF","South Africa","Year",2020,7400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZAF","South Africa","Year",2015,6800
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZAF","South Africa","Year",2010,5900
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZAF","South Africa","Year",2005,4900
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZAF","South Africa","Year",2000,3600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZMB","Zambia","Year",2023,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZMB","Zambia","Year",2022,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZMB","Zambia","Year",2021,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZMB","Zambia","Year",2020,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZMB","Zambia","Year",2015,1200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZMB","Zambia","Year",2010,940000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZMB","Zambia","Year",2005,810000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZMB","Zambia","Year",2000,740000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZWE","Zimbabwe","Year",2023,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZWE","Zimbabwe","Year",2022,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZWE","Zimbabwe","Year",2021,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZWE","Zimbabwe","Year",2020,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZWE","Zimbabwe","Year",2015,1400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZWE","Zimbabwe","Year",2010,1300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZWE","Zimbabwe","Year",2005,1400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AFR","Africa","Country","ZWE","Zimbabwe","Year",2000,1600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ARG","Argentina","Year",2023,140000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ARG","Argentina","Year",2022,130000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ARG","Argentina","Year",2021,130000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ARG","Argentina","Year",2020,130000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ARG","Argentina","Year",2015,110000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ARG","Argentina","Year",2010,92000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ARG","Argentina","Year",2005,73000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ARG","Argentina","Year",2000,54000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BHS","Bahamas","Year",2023,4100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BHS","Bahamas","Year",2022,4100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BHS","Bahamas","Year",2021,4200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BHS","Bahamas","Year",2020,4200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BHS","Bahamas","Year",2015,4300
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BHS","Bahamas","Year",2010,4400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BHS","Bahamas","Year",2005,4200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BHS","Bahamas","Year",2000,4200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BLZ","Belize","Year",2023,3600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BLZ","Belize","Year",2022,3600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BLZ","Belize","Year",2021,3600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BLZ","Belize","Year",2020,3600
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BLZ","Belize","Year",2015,3400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BLZ","Belize","Year",2010,2900
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BLZ","Belize","Year",2005,2200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BLZ","Belize","Year",2000,1400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BOL","Bolivia (Plurinational State of)","Year",2023,31000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BOL","Bolivia (Plurinational State of)","Year",2022,30000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BOL","Bolivia (Plurinational State of)","Year",2021,29000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BOL","Bolivia (Plurinational State of)","Year",2020,28000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BOL","Bolivia (Plurinational State of)","Year",2015,23000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BOL","Bolivia (Plurinational State of)","Year",2010,20000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BOL","Bolivia (Plurinational State of)","Year",2005,17000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BOL","Bolivia (Plurinational State of)","Year",2000,15000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRA","Brazil","Year",2023,1000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRA","Brazil","Year",2022,970000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRA","Brazil","Year",2021,940000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRA","Brazil","Year",2020,910000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRA","Brazil","Year",2015,770000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRA","Brazil","Year",2010,640000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRA","Brazil","Year",2005,490000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRA","Brazil","Year",2000,350000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRB","Barbados","Year",2023,2100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRB","Barbados","Year",2022,2100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRB","Barbados","Year",2021,2100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRB","Barbados","Year",2020,2100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRB","Barbados","Year",2015,2100
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRB","Barbados","Year",2010,2000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRB","Barbados","Year",2005,1800
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","BRB","Barbados","Year",2000,1500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CAN","Canada","Year",2020,63000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CAN","Canada","Year",2015,55000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CAN","Canada","Year",2010,49000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CAN","Canada","Year",2005,43000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CAN","Canada","Year",2000,37000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CHL","Chile","Year",2023,91000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CHL","Chile","Year",2022,87000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CHL","Chile","Year",2021,82000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CHL","Chile","Year",2020,78000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CHL","Chile","Year",2015,53000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CHL","Chile","Year",2010,36000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CHL","Chile","Year",2005,24000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CHL","Chile","Year",2000,16000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","COL","Colombia","Year",2023,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","COL","Colombia","Year",2022,230000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","COL","Colombia","Year",2021,220000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","COL","Colombia","Year",2020,210000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","COL","Colombia","Year",2015,170000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","COL","Colombia","Year",2010,140000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","COL","Colombia","Year",2005,130000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","COL","Colombia","Year",2000,1e+05
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CRI","Costa Rica","Year",2023,19000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CRI","Costa Rica","Year",2022,18000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CRI","Costa Rica","Year",2021,18000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CRI","Costa Rica","Year",2020,17000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CRI","Costa Rica","Year",2015,13000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CRI","Costa Rica","Year",2010,9200
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CRI","Costa Rica","Year",2005,5900
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CRI","Costa Rica","Year",2000,3500
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CUB","Cuba","Year",2023,44000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CUB","Cuba","Year",2022,42000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CUB","Cuba","Year",2021,41000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CUB","Cuba","Year",2020,39000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CUB","Cuba","Year",2015,31000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CUB","Cuba","Year",2010,22000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CUB","Cuba","Year",2005,13000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","CUB","Cuba","Year",2000,4400
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","DOM","Dominican Republic","Year",2023,84000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","DOM","Dominican Republic","Year",2022,82000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","DOM","Dominican Republic","Year",2021,81000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","DOM","Dominican Republic","Year",2020,79000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","DOM","Dominican Republic","Year",2015,74000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","DOM","Dominican Republic","Year",2010,74000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","DOM","Dominican Republic","Year",2005,75000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","DOM","Dominican Republic","Year",2000,74000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ECU","Ecuador","Year",2023,51000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ECU","Ecuador","Year",2022,49000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ECU","Ecuador","Year",2021,48000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ECU","Ecuador","Year",2020,46000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ECU","Ecuador","Year",2015,38000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ECU","Ecuador","Year",2010,31000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ECU","Ecuador","Year",2005,25000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","ECU","Ecuador","Year",2000,20000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GTM","Guatemala","Year",2023,35000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GTM","Guatemala","Year",2022,34000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GTM","Guatemala","Year",2021,33000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GTM","Guatemala","Year",2020,33000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GTM","Guatemala","Year",2015,31000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GTM","Guatemala","Year",2010,30000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GTM","Guatemala","Year",2005,27000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GTM","Guatemala","Year",2000,25000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GUY","Guyana","Year",2023,10000
"HIV_0000000001","Estimated number of people (all ages) living with HIV","numeric","AMR","Americas","Country","GUY","Guyana","Year",2022,10000
